Latitude,Longitude,Number of Bikes
34.0348,-118.23128,11
34.03919,-118.23253,10
34.04989,-118.25588,11
34.05772,-118.24897,6
34.03286,-118.26808,9
34.03105,-118.26709,6
34.04607,-118.23309,7
34.03705,-118.25487,7
34.05661,-118.23721,21
34.0529,-118.24156,9
34.04373,-118.26014,7
34.06228,-118.27152,3
34.0519,-118.29368,4
34.04813,-118.27103,8
34.07561,-118.29186,7
34.06927,-118.29659,9
34.04554,-118.25667,14
34.05048,-118.25459,11
34.04661,-118.26273,7
34.05681,-118.275,7
34.05969,-118.29466,8
34.05403,-118.27092,6
34.05771,-118.27976,11
34.02762,-118.28068,6
34.02629,-118.27769,9
34.03987,-118.25004,3
34.0406,-118.25384,7
34.06428,-118.23894,3
34.03017,-118.28095,11
34.03352,-118.24184,11
34.04652,-118.23741,9
34.03189,-118.25018,12
34.09905,-118.2915,8
34.09249,-118.29144,3
34.05765,-118.29218,7
34.02586,-118.2841,4
34.0203,-118.28118,8
34.02835,-118.28867,5
34.02404,-118.28341,3
34.03364,-118.29131,3
34.02371,-118.27917,11
34.03922,-118.23649,13
34.03746,-118.26538,8
34.02868,-118.28411,8
34.0511,-118.26456,7
34.0358,-118.23317,6
34.0298,-118.27031,2
34.04169,-118.23535,6
34.05697,-118.25359,9
34.07483,-118.25873,5
34.0493,-118.23881,12
34.05357,-118.26636,5
34.03998,-118.2664,20
34.02851,-118.25667,6
34.06335,-118.2968,13
34.05014,-118.23319,7
34.10536,-118.28727,1
34.10578,-118.29194,0
34.02662,-118.28181,5
34.06166,-118.29824,12
34.098,-118.30047,9
34.06162,-118.30557,6
34.04557,-118.27419,9
34.08265,-118.28439,2
34.0616,-118.28199,10
34.05323,-118.27842,4
34.10363,-118.29131,2
34.10233,-118.28746,1
34.05243,-118.30202,12
34.0179,-118.29172,8
34.09437,-118.33101,8
34.06349,-118.28716,5
34.10936,-118.27181,7
34.1007,-118.25912,6
34.07159,-118.28229,3
34.09097,-118.28625,4
34.01252,-118.2859,10
34.05355,-118.25584,6
34.10424,-118.2737,8
34.0315,-118.28874,7
34.04518,-118.24325,5
34.11003,-118.28716,2
34.06163,-118.30119,5
34.06875,-118.30928,9
34.04381,-118.26497,12
34.06258,-118.29009,8
34.06543,-118.30882,4
34.04585,-118.2544,10
34.05797,-118.29975,3
34.04613,-118.25759,11
34.04776,-118.22541,11
34.08371,-118.29602,14
34.05628,-118.23177,7
34.02339,-118.47964,3
33.98842,-118.45163,11
34.01431,-118.49134,18
33.98434,-118.47155,6
34.02912,-118.40317,8
33.99116,-118.46829,9
33.95718,-118.45125,6
33.92846,-118.4352,5
33.95879,-118.44828,4
34.00088,-118.46891,12
33.99834,-118.46101,18
34.02569,-118.3953,6
33.97619,-118.41842,12
34.00902,-118.42501,7
34.00351,-118.43438,8
34.02765,-118.41356,3
34.02948,-118.41047,10
34.03535,-118.43414,5
33.98813,-118.47174,8
34.03047,-118.42098,8
34.01737,-118.4206,5
34.02199,-118.4165,5
33.98292,-118.41093,6
34.0314,-118.45363,12
34.01376,-118.4178,7
34.02655,-118.40846,6
34.02339,-118.39922,8
34.02018,-118.40403,5
34.0118,-118.41944,8
33.99868,-118.47298,13
33.99302,-118.41491,10
33.98908,-118.46226,3
34.02245,-118.43833,8
33.98493,-118.46996,4
33.99624,-118.47745,15
34.02697,-118.42821,8
34.02006,-118.42268,4
33.99958,-118.44136,7
33.99556,-118.48155,4
33.97024,-118.42607,9
34.06126,-118.2586,6
34.02683,-118.39352,9
33.99032,-118.41205,7
34.04887,-118.2743,9
34.00031,-118.40253,6
33.98995,-118.43467,8
33.97366,-118.42286,4
34.04031,-118.25827,4
33.98486,-118.43113,4
34.02258,-118.40551,7
34.06079,-118.30907,6
34.03687,-118.4255,12
34.02209,-118.27979,5
34.04298,-118.25295,4
33.99097,-118.4213,8
33.9897,-118.44888,5
34.0532,-118.25095,9
34.10385,-118.32546,8
34.10338,-118.34919,10
34.09435,-118.32636,8
34.06097,-118.44437,9
34.06211,-118.44692,9
34.07365,-118.43984,12
34.16863,-118.37707,5
34.17765,-118.38231,8
34.15832,-118.37081,7
34.16171,-118.37282,1
34.15214,-118.36195,8
34.16495,-118.36363,4
34.16875,-118.36187,6
34.16552,-118.37515,3
34.16835,-118.3875,2
34.16522,-118.35515,2
34.16833,-118.39616,5
34.0926,-118.28093,2
34.08252,-118.27272,7
34.09028,-118.27719,5
34.07598,-118.25601,7
34.07364,-118.25157,10
34.07735,-118.26455,2
34.10011,-118.28986,5
34.05194,-118.24353,8
34.10186,-118.33329,4
34.05832,-118.24609,3
34.06318,-118.24588,7
34.04998,-118.24716,2
34.10164,-118.30917,6
34.102,-118.33741,14
34.10189,-118.30061,6
34.10186,-118.32811,12
34.06056,-118.23833,9
34.05088,-118.24825,11
34.10176,-118.33474,7
34.10038,-118.3418,2
34.10196,-118.33885,9
34.05287,-118.24749,4
34.05896,-118.25059,3
34.09823,-118.33882,10
34.04211,-118.25619,9
34.0485,-118.25854,22
34.0484,-118.26095,3
34.06339,-118.23616,8
34.04775,-118.24317,9
34.03861,-118.26086,4
34.03027,-118.27319,9
33.99537,-118.4648,12
34.03974,-118.44227,8
34.10185,-118.32514,3
33.98667,-118.44095,8
34.04417,-118.26117,9
34.05978,-118.28854,3
34.04113,-118.26798,9
34.06975,-118.44535,5
34.04206,-118.26338,10
34.01745,-118.40957,7
34.04099,-118.2558,7
34.07262,-118.44944,9
34.06186,-118.45002,2
33.99377,-118.45367,8
34.02341,-118.42901,9
34.152,-118.3506,2
34.02705,-118.48518,7
34.04744,-118.24794,8
34.09801,-118.28707,5
34.09493,-118.28456,8
34.04804,-118.25374,4
34.00587,-118.42916,5
34.06699,-118.29088,4
33.99724,-118.44673,4
34.04621,-118.45117,12
