categories,latitude,longitude,Number of Bikes
Grocery Store,136.022776,-473.606469,56
Korean Restaurant,68.12629,-236.594584,26
Coffee Shop,68.040317,-236.714162,25
Movie Theater,34.04818,-118.258773,22
"Bakery, Fast Food Restaurant, Mexican Restaurant",34.057455,-118.237646,21
Mexican Restaurant,34.057103,-118.238065,21
Fast Food Restaurant,33.99769,-118.46063,18
"Pizzeria, Dining and Drinking",33.997586,-118.460699,18
Clothing Store,33.998074,-118.460285,18
"Café, American Restaurant",33.996222,-118.477132,15
"Restaurant, Vegan and Vegetarian Restaurant",34.044612,-118.256301,14
"Cocktail Bar, Lounge, BBQ Joint",34.044919,-118.256236,14
Sushi Restaurant,33.998048,-118.473354,13
"Korean Restaurant, Soup Spot",34.062987,-118.297466,13
Italian Restaurant,34.038912,-118.235891,13
"Ice Cream Parlor, Restaurant",33.998505,-118.472869,13
"BBQ Joint, Korean BBQ Restaurant",34.063736,-118.297339,13
"BBQ Joint, Korean BBQ Restaurant, Tapas Restaurant",34.063777,-118.297127,13
"Cocktail Bar, Mexican Restaurant",33.99877,-118.473016,13
"Café, Vegan and Vegetarian Restaurant",33.997949,-118.473282,13
"Bar, Gastropub",34.063777,-118.297127,13
"Wine Bar, Deli, Sandwich Spot",33.998828,-118.4733,13
History Museum,34.04467,-118.26489,12
"Concert Hall, Rock Club, Theater",34.04476,-118.264864,12
"Coffee Shop, Restaurant",34.073645,-118.439269,12
Burger Joint,34.001427,-118.46869,12
"Ophthalmologist, Eyecare Store",34.052968,-118.301662,12
Restaurant,34.001049,-118.469813,12
"Bar, Burger Joint",33.976443,-118.417882,12
"Bakery, Coffee Shop, Restaurant",34.05243,-118.302572,12
"Taco Restaurant, Street Food Gathering",34.001494,-118.468691,12
