categories,latitude,longitude,Number of Bikes
Museums,204.52079340754221,-709.827561836799,98
Mexican,136.13844047357702,-473.47946509330507,62
Landmarks & Historical Buildings,68.0449149304456,-236.737097683379,37
"Sushi Bars, Japanese",68.108341,-236.562898,25
"Cocktail Bars, American (Traditional), Venues & Event Spaces",34.04803159296477,-118.25838604333818,22
Lounges,34.0482568176281,-118.258001549057,22
"Japanese, Noodles, Asian Fusion",34.0483966730337,-118.25858827976226,22
"Japanese, Bars, Tapas/Small Plates",34.047821,-118.258738,22
"Sushi Bars, Steakhouses, Wine Bars",34.04802842513478,-118.2580505451759,22
"Food Trucks, Mexican",34.04847702501634,-118.25776730248182,22
"Seafood, Fish & Chips, Poke",34.0487526,-118.2591268,22
"Coffee & Tea, Sandwiches, Breakfast & Brunch",34.048345929081,-118.25814095017,22
"Chinese, Sushi Bars, Lounges",34.048593,-118.25917,22
"Cinema, Bars, Dinner Theater",34.047946,-118.259035,22
"American (New), Gastropubs",34.0561350995455,-118.237482804911,21
"Bakeries, Mexican",34.0574680985545,-118.237440134918,21
"Bars, Brewpubs, Beer Gardens",34.056313,-118.236508,21
"Fast Food, Mexican, Chicken Shop",33.9976100074765,-118.46065765348736,18
"Fast Food, Sandwiches",33.9975478808448,-118.460976113834,18
"Pizza, Chicken Wings, Fast Food",33.997553,-118.460806,18
"Mexican, Food Trucks",33.999248,-118.461395,18
"American (Traditional), Breakfast & Brunch, Bars",33.996429,-118.477706,15
"Cafes, Wine Bars",33.99623714102038,-118.47710811244932,15
"Cocktail Bars, American (New)",34.04471,-118.25646,14
"Latin American, Convenience Stores",34.0833797828261,-118.29575099895,14
"Mexican, Cocktail Bars, Breakfast & Brunch",34.10138,-118.33672,14
"Mexican, Gluten-Free",34.04511,-118.25734,14
"Middle Eastern, Cocktail Bars",34.04471,-118.25646,14
Pizza,34.08344,-118.2951,14
"Bars, American (Traditional)",34.1017040063047,-118.338204866344,14
Indian,34.10139,-118.33777,14
"Ice Cream & Frozen Yogurt, Bakeries, Cafes",34.101747,-118.3382113,14
"Sushi Bars, Asian Fusion, Ramen",34.101762,-118.336661,14
"Vegan, Cafes, Breakfast & Brunch",33.998065,-118.473459,13
Sushi Bars,33.99801,-118.47342,13
"Korean, Tapas/Small Plates, Cocktail Bars",34.063779,-118.297282,13
"Mexican, Cocktail Bars",33.99878,-118.47305,13
"Vietnamese, Korean, Soup",34.063132,-118.297095,13
"Soup, Korean, Comfort Food",34.063051,-118.297541,13
"Ramen, Noodles",34.06370743837157,-118.29743713253563,13
"Korean, Barbeque, Wine Bars",34.063227,-118.297088,13
"Korean, Soup, Comfort Food",34.06309,-118.29754,13
Italian,34.038867,-118.23602,13
"Asian Fusion, Chicken Shop",34.06309,-118.29754,13
"Barbeque, Korean",34.06375298900917,-118.29728290552232,13
"Breakfast & Brunch, Coffee & Tea, Sandwiches",33.998356,-118.4738294,13
"Coffee & Tea, Gluten-Free, Breakfast & Brunch",33.9987,-118.47341,13
"Colombian, Gastropubs, Cocktail Bars",34.06373,-118.296869,13
"Korean, Soup",34.0630233116146,-118.29753992865226,13
"Hot Pot, Chinese",34.06322096707325,-118.297207,13
Wine Bars,33.9987799,-118.47326,13
Korean,34.0630990152011,-118.29713344574,13
"Korean, Barbeque",34.0640971043136,-118.297196569311,13
"Korean, Barbeque, Bars",34.063763,-118.296482,13
"Korean, Barbeque, Chicken Wings",34.063185,-118.297151,13
"Korean, Noodles, Chinese",34.063022,-118.297506,13
"Korean, Noodles",34.0628602582049,-118.297570301258,13
"Museums, Venues & Event Spaces",34.044666,-118.264616,12
"American (New), Lounges",34.04446122268343,-118.26423,12
"American (New), Pubs",33.97693119,-118.4182426,12
"Tacos, Street Vendors",34.001126,-118.469817,12
Tacos,33.9768196556422,-118.418092019856,12
"Street Vendors, Japanese",34.03700305328166,-118.42493585012816,12
"Chinese, Noodles, Tapas/Small Plates",33.975897729193264,-118.41792557340686,12
"Coffee & Tea, Food Stands",34.03700305328166,-118.42493585012816,12
"Izakaya, Sushi Bars",34.05242,-118.30215,12
"Steakhouses, Wine Bars, Seafood",34.0446963342719,-118.26536453203,12
"Sports Bars, American (Traditional), Cocktail Bars",34.044057180122984,-118.2651236098165,12
"Pizza, Fast Food",34.0726855732805,-118.439682871548,12
"Dance Studios, Music Venues",34.03700305328166,-118.42493585012816,12
