business_name,categories,address,latitude,longitude
Pizzanista,Pizzeria,"2019 E 7th St, Los Angeles, CA 90021",34.034828,-118.231642
Afuri Ramen,Ramen Restaurant,"688 Mateo St, Los Angeles, CA 90021",34.03525,-118.232145
Guerrilla Tacos,Mexican Restaurant,"2000 E 7th St, Los Angeles, CA 90021",34.034444,-118.231989
Everson Rocye Bar,"Cocktail Bar, Wine Bar, Restaurant","1936 E 7th St, Los Angeles, CA 90021",34.03429,-118.232552
Bread Lounge,Bakery,"700 S Santa Fe Ave, Los Angeles, CA 90021",34.034349,-118.229794
Yangban Society,"Deli, American Restaurant, Korean Restaurant","712 S Santa Fe Ave, Los Angeles, CA 90021",34.033876,-118.229785
Little Bear L.A. Restaurant,Bar,"1855 Industrial St, Los Angeles, CA 90021",34.035965,-118.233007
Bestia,"Pizzeria, Italian Restaurant","2121 E 7th Pl (at Santa Fe Ave), Los Angeles, CA 90021",34.033656,-118.229286
Stumptown Coffee Roasters,"Coffee Shop, Restaurant","806 S Santa Fe Ave, Los Angeles, CA 90021",34.033366,-118.229846
Damian,Mexican Restaurant,"2132 E 7th Pl, Los Angeles, CA 90021",34.033436,-118.228786
Dover Street Market,Department Store,"606-608 Imperial St, Los Angeles, CA 90021",34.037713,-118.231341
Soho Warehouse,Swimming Pool,"1000 S Santa Fe Ave, Los Angeles, CA 90021",34.031379,-118.229598
Maru Coffee,"Café, Coffee Shop","1019 S Santa Fe Ave (btwn Violet & Sacramento St), Los Angeles, CA 90021",34.030949,-118.230297
Blue Bottle Coffee,"Cafe, Coffee, and Tea House","582 Mateo St (at Willow St), Los Angeles, CA 90013",34.038959,-118.232496
Zinc Café & Market,"Café, American Restaurant, Vegan and Vegetarian Restaurant","580 Mateo St (at Willow St), Los Angeles, CA 90013",34.039365,-118.232503
Officine Brera,Italian Restaurant,"1331 E 6th St (Alameda), Los Angeles, CA 90021",34.03841,-118.23475
Downtown Rehearsal,Media Agency,"2155 E 7th St, Los Angeles, CA 90023",34.035497,-118.225852
Girl & The Goat LA,Dining and Drinking,"555 Mateo St, Los Angeles, CA 90013",34.039814,-118.233219
The Factory Kitchen,Italian Restaurant,"1300 Factory Pl, Los Angeles, CA 90013",34.038912,-118.235891
Greenbar Distillery,"Bar, Distillery, Restaurant","2459 E 8th St, Los Angeles, CA 90021",34.029804,-118.228154
Verve Coffee Roasters,"Coffee Shop, Restaurant","500 Mateo St, Los Angeles, CA 90013",34.04142,-118.232753
Bavel,"American Restaurant, Mediterranean Restaurant, Middle Eastern Restaurant","500 Mateo St, Los Angeles, CA 90013",34.041487,-118.232754
Farmer Boys,"Burger Joint, American Restaurant, Fast Food Restaurant","726 S Alameda St (at Bay St.), Los Angeles, CA 90021",34.032065,-118.238312
Pikunico,"Fried Chicken Joint, Japanese Restaurant, Sandwich Spot","767 S Alameda St, Los Angeles, CA 90021",34.034896,-118.240628
Urth Caffé,Dining and Drinking,"451 S Hewitt St (at E 5th St), Los Angeles, CA 90013",34.042041,-118.235382
Corey Helford Gallery,Art Gallery,"571 S Anderson St, Los Angeles, CA 90033",34.039435,-118.224439
Go Get Em Tiger,"Coffee Shop, American Restaurant","777 S Alameda St, Los Angeles, CA 90021",34.034946,-118.240134
Resident,"Beer Garden, Music Venue","428 S Hewitt St, Los Angeles, CA 90013",34.042695,-118.235041
Row Dtla,Shopping Mall,"777 S Alameda St, Los Angeles, CA 90021",34.033705,-118.241474
Hightide Store DTLA,Stationery Store,"787 S Alameda St, Los Angeles, CA 90021",34.033413,-118.240459
Fourth Street Bridge,Bridge,"E 4TH St (btwn S Santa Fe & S Mission), Los Angeles, CA 90013",34.041903,-118.227455
Cafe Dulce,"Café, Coffee Shop, Fast Food Restaurant","777 S Alameda St (at E 7th St), Los Angeles, CA 90021",34.03379,-118.241315
Wolfson Knitting Mills,Textiles Store,"2124 Sacramento St, Los Angeles, CA 90021",34.030379,-118.229155
Smorgasburg Los Angeles,"Restaurant, Street Food Gathering","746 Market Ct (at Center St), Los Angeles, CA 90021",34.035427,-118.240921
Museum as Retail Space,Art Gallery,"649 S Anderson St (Jessy Street), Los Angeles, CA 90023",34.036998,-118.223474
Arts District Co-op,Art Gallery,"453 Colyton St, Los Angeles, CA 90013",34.041904,-118.236441
Building 24,Office Building,"2470 E 8th St (Santa Fe), Los Angeles, CA 90021",34.030702,-118.227604
Wisdome.La,Art Gallery,"1147 Palmetto St (Alameda), Los Angeles, CA 90013",34.040163,-118.236904
Yxta Cocina Mexicana,Mexican Restaurant,"601 S Central Ave (at E 6th St.), Los Angeles, CA 90021",34.039061,-118.240492
Rapp Bar Dtla,Seafood Restaurant,"1318 E 7th St, Los Angeles, CA 90021",34.034633,-118.241401
The Infusery,"Event Space, Bar, Distillery","2332 E 8th St, Los Angeles, CA 90021",34.02937,-118.230976
Nate Starkman Building,Office Building,"544 Mateo St, Los Angeles, CA 90013",34.040338,-118.232733
Arts District Dog Park,"Dog Park, Playground","1004 E 4th St (at Molino), Los Angeles, CA 90013",34.042814,-118.234547
Mihai Nicodim Gallery,Art Gallery,"571 S Anderson St, Los Angeles, CA 90033",34.039502,-118.22444
Barfights,Arcade,"2441 Hunter St, Los Angeles, CA 90021",34.027834,-118.228401
Baert Gallery,Art Gallery,"2441 Hunter St, Los Angeles, CA 90021",34.027834,-118.228401
The Porter Junction Cafe,"Coffee Shop, Deli, Sandwich Spot","2350 Porter St (btw Santa Fe & Mateo), Los Angeles, CA 90021",34.026405,-118.230639
Arts District Flea,Flea Market,"453 Colyton St (5th Street), Los Angeles, CA 90013",34.041868,-118.236511
The Purple Loft,,"4TH St, Los Angeles, CA 90033",34.038101,-118.221867
CicLAvia,Non-Profit Organization,"525 S Hewitt St, Los Angeles, CA 90013",34.040766,-118.235076
Arts District Brewing,"Arcade, Sports Bar, Brewery","828 Traction Ave (at Avery St), Los Angeles, CA 90013",34.045118,-118.235509
Ave 26 Tacos,Taco Restaurant,"353 S Alameda St, Los Angeles, CA 90013",34.04373,-118.238456
Cha Cha CHA,"Cocktail Bar, Mexican Restaurant","820 E 3rd St, Los Angeles, CA 90013",34.045682,-118.235732
Hauser & Wirth,Art Gallery,"901 E 3rd St, Los Angeles, CA 90013",34.046184,-118.234892
Death & Co,"Cocktail Bar, Lounge, Restaurant","810 E 3rd St, Los Angeles, CA 90013",34.045615,-118.235731
Salt & Straw,"Ice Cream Parlor, American Restaurant","829 E 3rd St (at S Garey St), Los Angeles, CA 90013",34.045989,-118.235667
EightyTwo,"Arcade, Cocktail Bar, Restaurant","707 E 4th Pl (at Alameda St), Los Angeles, CA 90013",34.045453,-118.237497
Manuela,"Bar, American Restaurant","907 E 3rd St (at S Garey St), Los Angeles, CA 90013",34.046153,-118.234821
De La Nonna,Pizzeria,"710 E 4th Pl, Los Angeles, CA 90013",34.044944,-118.237558
Little Tokyo Market Place,"Fish Market, Fruit and Vegetable Store, Grocery Store","333 S Alameda St (at E 3rd St), Los Angeles, CA 90013",34.044797,-118.2389
Angel City Brewery,"Bar, Brewery, American Restaurant","216 S Alameda St (at E 2nd St), Los Angeles, CA 90012",34.046291,-118.237724
Comfort LA,"American Restaurant, Southern Food Restaurant, Wings Joint","1110 E 7th St (at Ceres Ave), Los Angeles, CA 90021",34.037757,-118.243015
PASTA e PASTA by Allegro,"Italian Restaurant, Japanese Restaurant","432 E 2nd St, Los Angeles, CA 90012",34.04647,-118.238435
High Tide,"Music Venue, Beer Garden, Wine Bar","605 E 4th St, Los Angeles, CA 90013",34.044546,-118.24031
Inner City Arts,Art School,"720 Kohler St (at E. 7th St.), Los Angeles, CA 90021",34.037236,-118.24244
Los Angeles Community Action Network,Non-Profit Organization,"838 E 6th St (Gladys and 6th), Los Angeles, CA 90021",34.039824,-118.241921
Times Produce,Dining and Drinking,"130 S Myers St, Los Angeles, CA 90033",34.046571,-118.22846
Los Angeles Central Library,Library,"630 W 5th St (btwn Flower & Grand Ave), Los Angeles, CA 90071",34.05032,-118.25504
The Water Grill,"American Restaurant, Seafood Restaurant","544 S Grand Ave (at 6th St), Los Angeles, CA 90071",34.049095,-118.254757
Nice Coffee,"Bakery, Coffee Shop, Sandwich Spot","555 S Flower St, Los Angeles, CA 90071",34.050558,-118.257472
71Above,"Cocktail Bar, New American Restaurant","633 W 5th St, Los Angeles, CA 90071",34.051106,-118.254299
Takami Sushi & Robata,Sushi Restaurant,"811 Wilshire Blvd (at S Flower St.), Los Angeles, CA 90017",34.049786,-118.258307
85˚C Bakery Cafe,Bakery,"700 Wilshire Blvd, Los Angeles, CA 90017",34.048634,-118.257366
Gallery Bar,Hotel Bar,"506 S Grand Ave (5th - in the Biltmore), Los Angeles, CA 90071",34.049868,-118.253922
JINYA Ramen Bar - Downtown LA,"Ramen Restaurant, Soup Spot","700 Wilshire Blvd, Los Angeles, CA 90017",34.048697,-118.257509
Pitchoun,"Bakery, Café, French Restaurant","545 S Olive St, Los Angeles, CA 90013",34.048511,-118.254039
Bottega Louie,Italian Restaurant,"700 S Grand Ave (at 7th St), Los Angeles, CA 90017",34.046973,-118.256486
Alamo Drafthouse Downtown,Movie Theater,"700 W 7th St, Los Angeles, CA 90017",34.04818,-118.258773
Seven Grand,"Lounge, Whisky Bar, BBQ Joint","515 W 7th St (btwn Olive & Grand Ave.), Los Angeles, CA 90014",34.047096,-118.255852
Spire 73,"Cocktail Bar, American Restaurant","900 Wilshire Blvd (at S Figueroa St), Los Angeles, CA 90017",34.049873,-118.259724
Perch,French Restaurant,"448 S Hill St (13th Floor), Los Angeles, CA 90013",34.048873,-118.251357
Mrs Fish,"Lounge, Sushi Restaurant, Seafood Restaurant","448 S Hill St, Los Angeles, CA 90013",34.048841,-118.251285
Whole Foods,Grocery Store,"788 S Grand Ave (at W 8th St), Los Angeles, CA 90017",34.045768,-118.257189
Donut Friend,"Bagel Shop, Restaurant","543 S Broadway (Sixth Street), Los Angeles, CA 90013",34.047262,-118.251964
TASTE FIGat7th,Food Court,"735 S Figueroa St (btwn 7th & 8th St.), Los Angeles, CA 90017",34.048883,-118.260979
Philz Coffee,"Cafe, Coffee, and Tea House","801 S Hope St, Los Angeles, CA 90017",34.04643,-118.259518
Los Angeles Theatre,Movie Theater,"615 S Broadway (btwn 6th & 7th), Los Angeles, CA 90014",34.046521,-118.25287
FIGat7th,Shopping Mall,"735 S Figueroa St (btwn 7th & 8th St.), Los Angeles, CA 90017",34.048883,-118.260979
Mezcalero,"Cocktail Bar, Mexican Restaurant","510 S Broadway, Los Angeles, CA 90013",34.04754,-118.250766
Andante Coffee,"Coffee Shop, Asian Restaurant, Fast Food Restaurant","816 S Grand Ave (btwn W 8th & 9th St), Los Angeles, CA 90017",34.045194,-118.25808
Fogo De Chao,Brazilian Restaurant,"Figueora Street (8th Street), Los Angeles, CA 90017",34.047662,-118.261098
Rhythm Room LA,"Jazz and Blues Venue, Lounge, American Restaurant","206 W 6th St (Spring St), Los Angeles, CA 90014",34.046065,-118.251375
Golden Gopher,"Cocktail Bar, Lounge, BBQ Joint","515 W 7th St (at Hill St), Los Angeles, CA 90014",34.044919,-118.256236
Museum of Contemporary Art,Art Museum,"250 S Grand Ave (at W 3rd St), Los Angeles, CA 90012",34.05329,-118.25053
Shake Shack,"Burger Joint, American Restaurant, Fast Food Restaurant","400 W 8th St (at S Hill St), Los Angeles, CA 90014",34.04445,-118.256086
Sweetgreen,"Restaurant, Vegan and Vegetarian Restaurant","410 W 8th St (Hill St.), Los Angeles, CA 90014",34.044612,-118.256301
The Wolves,"Cocktail Bar, American Restaurant","519 S Spring St, Los Angeles, CA 90013",34.047117,-118.250263
Grand Central Market,"Fruit and Vegetable Store, Grocery Store","317 S Broadway (btwn 3rd & 4th St), Los Angeles, CA 90013",34.050873,-118.24896
Otium,New American Restaurant,"222 S Hope St, Los Angeles, CA 90012",34.054561,-118.251179
Spring St Bar,"Bar, Restaurant","626 S Spring St (btwn 6th & 7th St), Los Angeles, CA 90014",34.045154,-118.251288
Cognoscenti Coffee,"Coffee Shop, Restaurant","868 S Olive St, Los Angeles, CA 90014",34.044023,-118.257705
Maccheroni Republic,Italian Restaurant,"332 S Broadway, Los Angeles, CA 90013",34.05005,-118.248548
Juice Crafters,Vegan and Vegetarian Restaurant,"702 S Spring St (at W 7th St), Los Angeles, CA 90014",34.044211,-118.25219
Apple Store,Computers and Electronics Retail,"802 S Broadway, Los Angeles, CA 90014",34.043489,-118.254512
Exchange LA,"Night Club, Bar, Restaurant","618 S Spring St (btwn 6th & 7th St), Los Angeles, CA 90014",34.045362,-118.25115
Blue Bottle Coffee,"Cafe, Coffee, and Tea House","304 S Broadway, Los Angeles, CA 90013",34.050714,-118.247924
Yayoi Kusama's Infinity Mirrored Room at The Broad,"Exhibit, Art Gallery","221 S Grand Ave (W 2nd St), Los Angeles, CA 90012",34.054319,-118.250325
Buddha Belly,Thai Restaurant,"724 S Spring St, Los Angeles, CA 90014",34.043791,-118.252607
KazuNori,Sushi Restaurant,"421 S Main St (at Winston St), Los Angeles, CA 90013",34.047744,-118.247727
Orpheum Theatre,"Concert Hall, Music Venue, Theater","842 S Broadway (btwn 8th & 9th St), Los Angeles, CA 90014",34.042649,-118.255345
Wake and Late,Dining and Drinking,"105 E 6th St, Los Angeles, CA 90014",34.045248,-118.249521
The Globe Theater,Music Venue,"753 S Spring St, Los Angeles, CA 90014",34.043878,-118.254023
The Varnish,"Lounge, Speakeasy, American Restaurant","118 E 6th St (at Main St), Los Angeles, CA 90014",34.044874,-118.249585
Grocery Outlet,Grocery Store,"1120 W 6th St, Los Angeles, CA 90017",34.053941,-118.262417
Cole's French Dip,"Cocktail Bar, French Restaurant, New American Restaurant","118 E 6th St (at Main St), Los Angeles, CA 90014",34.044874,-118.249585
The Regent Theater,"Concert Hall, Music Venue, Vegan and Vegetarian Restaurant","448 S Main St, Los Angeles, CA 90013",34.046928,-118.247854
The Blue Ribbon Garden,Landmarks and Outdoors,"1st, Los Angeles, CA 90012",34.055446,-118.249992
The Music Center,"Concert Hall, Music Venue, Theater","135 N Grand Ave, Los Angeles, CA 90012",34.057327,-118.24815
Abernethy's,Dining and Drinking,"220 N Hope St, Los Angeles, CA 90012",34.057703,-118.248265
Mark Taper Forum,"Music Venue, Theater","135 N Grand Ave (at Temple St), Los Angeles, CA 90012",34.05765,-118.24784
