business_name,categories,address,rating,latitude,longitude,review_count
Bestia,"Italian, Cocktail Bars, Pizza","2121 E 7th Pl, Los Angeles, CA 90021",4.5,34.03366320238671,-118.22924462080344,7531
Guerrilla Tacos,"Tacos, Cocktail Bars, Beer Bar","2000 E 7th St, Los Angeles, CA 90021",4.0,34.034455789814146,-118.232130253186,1152
Afuri Ramen Dumpling,"Ramen, Noodles","688 Mateo St, Los Angeles, CA 90021",4.0,34.03517,-118.23218,488
Yangban,"Korean, American (New)","712 S Santa Fe Ave, Los Angeles, CA 90021",4.0,34.033941,-118.229608,283
Girl & The Goat - Los Angeles,American (New),"555-3 Mateo St, Ste 300, Los Angeles, CA 90013",4.5,34.04019,-118.233569,1563
Bavel,Middle Eastern,"500 Mateo St, Los Angeles, CA 90013",4.5,34.04151,-118.23261,2358
Everson Royce Bar,Bars,"1936 E 7th St, Los Angeles, CA 90021",4.5,34.03439,-118.232589,973
Damian,Mexican,"2132 E 7th Pl, Los Angeles, CA 90021",4.0,34.03357583,-118.22909483,334
Bike Shed Moto Co - Los Angeles,"Bars, Modern European, Breakfast & Brunch","1580 Industrial St, Los Angeles, CA 90021",4.5,34.03582,-118.23566,343
House of Cocotte,French,"2028 E 7th St, Los Angeles, CA 90021",4.5,34.0344856872052,-118.2312655,35
kodō,"Japanese, Sushi Bars, Desserts","710 S Santa Fe Ave, Los Angeles, CA 90021",4.5,34.03414,-118.22981,275
PIZZANISTA! DTLA,"Pizza, Vegan, Gluten-Free","2019 E 7th St, Los Angeles, CA 90021",4.0,34.034836,-118.231605,1400
Little Bear,"Belgian, Beer Bar, Cocktail Bars","1855 Industrial St, Los Angeles, CA 90021",3.5,34.035942,-118.232919,817
The Factory Kitchen,Italian,"1300 Factory Pl, Ste 101, Los Angeles, CA 90013",4.0,34.038867,-118.23602,1539
Kato,"Taiwanese, Seafood","777 Alameda St, Bldg 1 Ste 114, Los Angeles, CA 90021",4.5,34.033527,-118.240511,537
The Lobos Truck,"Food Trucks, American (Traditional), Comfort Food","1542 Fishburn Ave, Los Angeles, CA 90063",4.5,34.032416734202556,-118.23038078342852,1199
Brera Ristorante,"Italian, Desserts, Bars","1331 E 6th St, Los Angeles, CA 90021",4.0,34.0384797647149,-118.234751356622,808
Hi Bakery,"Bakeries, Sandwiches, Breakfast & Brunch","2037 E 7th St, Los Angeles, CA 90021",5.0,34.03473,-118.23089,89
Tony's Saloon,Cocktail Bars,"2017 E 7th St, Los Angeles, CA 90021",4.0,34.0348892211914,-118.231628417969,296
Kaviar - Los Angeles,"Sushi Bars, Beer Bar, Steakhouses","449 S Hewitt St, Los Angeles, CA 90013",4.5,34.042187,-118.235261,243
Bridgetown Roti,"Caribbean, Comfort Food","672 South Santa Fe Ave, Los Angeles, CA 90021",4.5,34.035815601659536,-118.22993494186775,94
kodō cafe,"Wine Bars, Cafes, Japanese","710 S Santa Fe Ave, Los Angeles, CA 90021",4.0,34.03414,-118.22981,67
Caboco,Brazilian,"Los Angeles, CA 90021",4.5,34.02931357352137,-118.23873014849326,130
Zinc Cafe & Market,"Breakfast & Brunch, Vegetarian, Beer, Wine & Spirits","580 Mateo St, Los Angeles, CA 90013",4.0,34.039378,-118.232513,2002
Guerrilla Cafecito,"Coffee & Tea, Breakfast & Brunch, Cafes","704 Mateo St, Los Angeles, CA 90021",4.0,34.03422,-118.23214,100
Paratta,"Indian, Halal, Pakistani","672 S Santa Fe Ave, Los Angeles, CA 90021",4.5,34.03585,-118.229969,129
Yxta Cocina Mexicana,"Mexican, Bars","601 S Central Ave, Los Angeles, CA 90021",4.0,34.0390802757744,-118.240427716488,1265
Ditroit Taqueria,Mexican,"2117 Violet St, Los Angeles, CA 90021",4.0,34.03318611238314,-118.22908145458844,79
Urth Caffé- Downtown LA,"Coffee & Tea, Sandwiches, Bubble Tea","451 S Hewitt St, Los Angeles, CA 90013",4.0,34.041974,-118.235426,5873
Rappahannock Oyster Bar,"Seafood, Bars, American (Traditional)","777 S Alameda St, Ste 154, Los Angeles, CA 90021",4.0,34.033558,-118.240512,559
Pizzeria Bianco DTLA,Pizza,"1320 E 7th St, Ste 100, Los Angeles, CA 90021",4.0,34.03443366261439,-118.24150574343636,376
Hank’s Organic,"Health Markets, Delis, Organic Stores","661 Imperial St, Los Angeles, CA 90021",3.5,34.03612,-118.23158,31
Smorgasburg,"Food Trucks, Pop-Up Restaurants, Street Vendors","777 Alameda St, Los Angeles, CA 90021",4.5,34.034644,-118.241766,1295
Guzzu Bento-ya,"Japanese, Asian Fusion","1102 Lawrence St, Los Angeles, CA 90021",5.0,34.03039,-118.23652,106
The Rising Sun,"Southern, Breakfast & Brunch, Cocktail Bars","1356 Palmetto St, Ste 200, Los Angeles, CA 90013",4.5,34.04016622751046,-118.2309845,127
Rize kitchen ,"Vegan, Coffee & Tea, Breakfast & Brunch","1029 S Santa Fe Ave, Los Angeles  , CA 90021",5.0,34.0307063,-118.2303898,104
Chuy’s Tacos Dorados,Tacos,"1335 Willow St, Los Angeles, CA 90013",4.0,34.039411256649394,-118.23147529237173,386
Ganchic,"Asian Fusion, Sushi Bars, Vegetarian","672 S Santa Fe Ave, Los Angeles, CA 90021",5.0,34.0358081,-118.2299336,17
Fisherman's Outlet,"Seafood Markets, Seafood","529 S Central Ave, Los Angeles, CA 90013",4.0,34.04083,-118.24018,1297
Yess Restaurant,Japanese,"2001 E 7th St, Los Angeles, CA 90021",3.5,34.03477007274552,-118.23215154333992,21
Hayato,Japanese,"1320 E 7th St, Ste 126, Los Angeles, CA 90021",4.5,34.0337836676606,-118.241942,119
Flor Y Solera,"Spanish, Tapas Bars, Wine Bars","1335 E 6st, Los Angeles, CA 90021",4.0,34.038324,-118.234736,45
CALAMAKI,"Food Stands, Food Delivery Services, Caterers","672 S Santa Fe Ave, Los Angeles, CA 90021",5.0,34.0358081,-118.2299336,7
Pikunico,"Japanese, Chicken Wings, Sandwiches","767 S Alameda St, Bldg 2, Ste 122, Los Angeles, CA 90021",4.0,34.034594,-118.240841,322
Resident,"Cocktail Bars, Music Venues, Beer Gardens","428 S Hewitt St, Los Angeles, CA 90013",4.0,34.04267,-118.2349,449
Rooftop Cinema Club Arts District,"Outdoor Movies, Venues & Event Spaces, Cocktail Bars","777 S Alameda St, Fl 5,  Bldg 1, Los Angeles, CA 90021",5.0,34.033949715971445,-118.24144344947187,184
Verve Coffee Roasters,"Coffee Roasteries, Breakfast & Brunch, Coffee & Tea","500 Mateo St, Los Angeles, CA 90013",4.0,34.04151,-118.23261,373
The Obscure Distillery,"Distilleries, Speakeasies","1356 Palmetto St, Los Angeles, CA 90013",4.5,34.0401520778263,-118.23098584129818,67
The Acey Deucey Club - Los Angeles,"Pop-Up Restaurants, Tiki Bars","613 Imperial St, Los Angeles, CA 90021",5.0,34.037576,-118.231845,9
Mariscos Mar-es,Seafood,"660 Mateo St, Los Angeles, CA 90021",5.0,34.035986,-118.232118,12
6th Street Bridge,Landmarks & Historical Buildings,"E 6th St, Los Angeles, CA 90013",4.5,34.038550661750186,-118.228138290929,40
Institute of Contemporary Art,Museums,"1717 E 7th St, Los Angeles, CA 90021",3.5,34.0350881173187,-118.235583659301,17
A Forest For The Trees,Art Museums,"490 S Mission Rd, Los Angeles, CA 90033",3.5,34.04086653787318,-118.2266535,24
Arts District Dog Park,Dog Parks,"1004 E 4th St, Los Angeles, CA 90013",3.5,34.04282,-118.23435,56
A+D Architecture and Design Museum,Museums,"900 E 4th St, Los Angeles, CA 90013",3.5,34.04327,-118.23622,14
Arts District Park,"Parks, Playgrounds","503 S Hewitt St, Los Angeles, CA 90013",3.0,34.041532,-118.2352152,12
4th St Bridge,Landmarks & Historical Buildings,"E 4th St Bridge, Los Angeles, CA 90033",4.0,34.0416974000077,-118.226981000007,2
Air Treatment Facility - Mission and Jesse Park,Parks,"649 S Mission Rd, Los Angeles, CA 90023",3.0,34.0365108847618,-118.225533887744,2
Girl & The Goat - Los Angeles,American (New),"555-3 Mateo St, Ste 300, Los Angeles, CA 90013",4.5,34.04019,-118.233569,1563
Bavel,Middle Eastern,"500 Mateo St, Los Angeles, CA 90013",4.5,34.04151,-118.23261,2358
